file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,235.008,1156.797,77.773,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.160622,322.590,1201.816,96.067,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0177; downsample_s=0.0082; plot_s=0.1317
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.182151,322.590,1201.816,102.398,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0229; downsample_s=0.0055; plot_s=0.1506
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.141543,321.461,1199.148,12.332,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0182; downsample_s=0.0051; plot_s=0.1165
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.155223,322.895,1201.363,100.107,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0175; downsample_s=0.0047; plot_s=0.1306
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.152171,321.488,1199.137,18.816,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0206; downsample_s=0.0061; plot_s=0.1229
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.155158,323.547,1202.320,100.026,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0164; downsample_s=0.0050; plot_s=0.1323
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.135701,321.492,1199.137,53.247,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0170; downsample_s=0.0050; plot_s=0.1118
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.150934,323.551,1202.320,92.722,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0175; downsample_s=0.0051; plot_s=0.1262
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.148895,321.512,1199.250,95.606,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0192; downsample_s=0.0051; plot_s=0.1223
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.148620,323.508,1202.316,104.302,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0170; downsample_s=0.0046; plot_s=0.1253
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,1.085505,244.023,1259.402,90.711,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.9154; downsample_s=0.0045; plot_s=0.1628
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_gamma_spike_detector,42.383791,244.035,1259.652,0.000,,3599.000000,,,channels=9; start_s=0.000; stop_s=3599.000; spikes=3244; gamma=3244
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.163233,243.855,1258.789,0.557,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0218; downsample_s=0.0059; plot_s=0.1320
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.143733,315.105,1262.035,93.490,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0202; downsample_s=0.0048; plot_s=0.1165
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.162968,289.664,1266.691,9.897,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0230; downsample_s=0.0057; plot_s=0.1321
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.222952,367.879,1317.289,20.112,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0290; downsample_s=0.0073; plot_s=0.1838
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.226120,376.539,1325.641,101.185,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0209; downsample_s=0.0049; plot_s=0.1971
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.125156,337.320,1342.750,30.876,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0170; downsample_s=0.0013; plot_s=0.1055
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.109681,335.875,1341.086,6.934,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0147; downsample_s=0.0014; plot_s=0.0926
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.110180,335.883,1341.086,11.924,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0151; downsample_s=0.0012; plot_s=0.0929
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.111687,335.883,1341.086,13.219,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0163; downsample_s=0.0012; plot_s=0.0931
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.110920,336.324,1341.480,10.880,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0239; downsample_s=0.0015; plot_s=0.0843
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.078680,334.504,1344.922,95.456,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0147; downsample_s=0.0013; plot_s=0.0617
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.097205,339.262,1342.438,15.874,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0236; downsample_s=0.0013; plot_s=0.0707
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.097562,353.422,1356.660,95.041,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0208; downsample_s=0.0013; plot_s=0.0741
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.090007,353.441,1356.660,103.058,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0179; downsample_s=0.0016; plot_s=0.0691
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.082877,353.441,1356.660,103.266,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0157; downsample_s=0.0011; plot_s=0.0647
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.100954,366.984,1370.465,16.010,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0220; downsample_s=0.0015; plot_s=0.0761
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.103115,399.531,1403.516,28.483,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0254; downsample_s=0.0015; plot_s=0.0747
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.089930,426.004,1430.609,96.871,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0159; downsample_s=0.0014; plot_s=0.0710
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.082002,426.105,1430.609,93.949,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0165; downsample_s=0.0013; plot_s=0.0630
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.071680,448.258,1453.035,15.903,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0182; downsample_s=0.0017; plot_s=0.0503
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.076730,448.324,1453.035,71.864,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0258; downsample_s=0.0012; plot_s=0.0480
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.067784,448.379,1453.035,103.709,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0164; downsample_s=0.0011; plot_s=0.0491
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.065898,448.500,1453.035,3.512,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0151; downsample_s=0.0010; plot_s=0.0486
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.120847,399.723,1453.082,0.901,,10.000000,off,monopolar,visible_channels=10; plotted_points=2560; read_window_s=0.0348; downsample_s=0.0025; plot_s=0.0805
