file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,229.961,1156.629,57.132,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.146456,378.531,1287.840,104.962,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0064; downsample_s=0.0077; plot_s=0.1309
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.151782,379.855,1289.270,88.763,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0079; downsample_s=0.0090; plot_s=0.1330
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.160310,340.035,1313.496,6.737,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0070; downsample_s=0.0116; plot_s=0.1401
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.146842,338.586,1312.926,102.181,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0073; downsample_s=0.0097; plot_s=0.1279
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.126294,338.625,1311.480,43.239,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0074; downsample_s=0.0090; plot_s=0.1084
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.113211,332.285,1311.480,13.596,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0067; downsample_s=0.0079; plot_s=0.0966
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.113515,332.047,1311.262,33.664,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0061; downsample_s=0.0078; plot_s=0.0982
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.114836,333.895,1314.418,103.648,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0075; downsample_s=0.0079; plot_s=0.0978
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.116552,150.723,1311.316,12.666,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0069; downsample_s=0.0080; plot_s=0.1001
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.110766,158.141,1313.219,5.313,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0062; downsample_s=0.0070; plot_s=0.0959
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.115653,158.152,1312.934,130.754,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0077; downsample_s=0.0077; plot_s=0.0987
